Bases;SVAE;DistilBERT;Diference
Society;0.884;0.7916;0.0924
Shareholder;0.9609;0.879;0.0819
Boxing;0.9694;0.8938;0.0756
Wildfire;0.9755;0.9048;0.0707
Management;0.9676;0.9011;0.0665
Rugby;0.9865;0.9253;0.0612
People;0.8459;0.7865;0.0594
Golf;0.9815;0.9258;0.0557
Metal;0.9785;0.9229;0.0556
Assault;0.9113;0.8592;0.0521
Design;0.9704;0.9223;0.0481
Series;0.9322;0.8865;0.0457
Marathon;0.9686;0.9233;0.0453
Language;0.9776;0.9338;0.0438
Retirement;0.9777;0.9339;0.0438
Bonds;0.9352;0.8918;0.0434
Nature;0.9188;0.8756;0.0432
Adults;0.9679;0.9248;0.0431
Parks;0.9771;0.9344;0.0427
Television;0.9677;0.925;0.0427
Parliament;0.964;0.9214;0.0426
Software;0.9845;0.9422;0.0423
Regulations;0.9614;0.9193;0.0421
Witness;0.8804;0.8384;0.0420
Revolution;0.968;0.9261;0.0419
Lifestyle;0.9376;0.8958;0.0418
Investments;0.9797;0.938;0.0417
Opera;0.9612;0.9196;0.0416
Ethics;0.9754;0.9338;0.0416
Music;0.9726;0.931;0.0416
Imports;0.983;0.9421;0.0409
Water;0.9656;0.9249;0.0407
Flood;0.9374;0.8968;0.0406
Hunting;0.9505;0.9108;0.0397
Toy;0.9855;0.946;0.0395
Agriculture;0.981;0.9415;0.0395
Party;0.9369;0.8975;0.0394
Health;0.9495;0.9103;0.0392
Automotive;0.9855;0.9466;0.0389
LGBTQ;0.9928;0.954;0.0388
Transport;0.9764;0.9387;0.0377
Transfer;0.9494;0.9118;0.0376
Architecture;0.9875;0.9504;0.0371
Stocks;0.9643;0.9277;0.0366
Anniversary;0.9421;0.9056;0.0365
University;0.9632;0.9267;0.0365
Employee;0.938;0.9015;0.0365
Fishing;0.9822;0.9457;0.0365
Exports;0.9826;0.9462;0.0364
Fiction;0.9607;0.9244;0.0363
Illness;0.9515;0.9152;0.0363
Privacy;0.9893;0.9531;0.0362
Employment;0.9533;0.9173;0.0360
Environment;0.9597;0.9241;0.0356
Therapy;0.9736;0.9381;0.0355
Animal;0.9828;0.9475;0.0353
Children;0.968;0.9329;0.0351
Volleyball;0.9872;0.9523;0.0349
Medicare;0.97;0.9356;0.0344
Beverage;0.9872;0.9531;0.0341
Justice;0.9507;0.9168;0.0339
Fire;0.9697;0.9358;0.0339
Prices;0.9594;0.9258;0.0336
Easter;0.981;0.9476;0.0334
Racism;0.9902;0.957;0.0332
Tourism;0.9777;0.9446;0.0331
Trend;0.9216;0.889;0.0326
Farms;0.9734;0.9409;0.0325
Adoption;0.8417;0.8094;0.0323
Family;0.9572;0.9249;0.0323
Abortion;0.992;0.9598;0.0322
Terrorism;0.9791;0.947;0.0321
Culture;0.9476;0.9155;0.0321
Gender;0.9776;0.9458;0.0318
Plant;0.928;0.8964;0.0316
Rivers;0.9815;0.9499;0.0316
Game;0.9472;0.9157;0.0315
Advertising;0.9667;0.9352;0.0315
Sailing;0.9538;0.9224;0.0314
Education;0.9636;0.9323;0.0313
Securities;0.9762;0.9451;0.0311
Logistics;0.9705;0.9397;0.0308
Ceremony;0.9333;0.9027;0.0306
Insurance;0.9834;0.9529;0.0305
Bar;0.9553;0.925;0.0303
Cafe;0.9852;0.9549;0.0303
Festival;0.9709;0.9406;0.0303
Weather;0.9814;0.9512;0.0302
Discrimination;0.9783;0.9483;0.0300
Surveillance;0.9514;0.9217;0.0297
Musical;0.9762;0.9465;0.0297
Christmas;0.9847;0.9551;0.0296
Medicine;0.9533;0.924;0.0293
Mining;0.9735;0.9442;0.0293
Banking;0.9717;0.9425;0.0292
Massacre;0.9444;0.9153;0.0291
Unions;0.9617;0.9326;0.0291
Restaurant;0.9821;0.9533;0.0288
Immigration;0.99;0.9613;0.0287
Government;0.9318;0.9033;0.0285
Mortgage;0.9787;0.9508;0.0279
Consumers;0.9621;0.9343;0.0278
Painting;0.9829;0.9552;0.0277
Fashion;0.9655;0.9379;0.0276
Wedding;0.9759;0.9483;0.0276
Radio;0.9736;0.9461;0.0275
Economy;0.9648;0.9374;0.0274
Poverty;0.9763;0.9493;0.0270
Holiday;0.9381;0.9112;0.0269
School;0.9542;0.9276;0.0266
College;0.9454;0.9188;0.0266
Unemployment;0.9843;0.9577;0.0266
Welfare;0.9096;0.8832;0.0264
Labour;0.9582;0.933;0.0252
Theatre;0.9776;0.9526;0.0250
Politics;0.9517;0.9269;0.0248
Surgery;0.9787;0.9539;0.0248
Media;0.9158;0.8919;0.0239
Petrol;0.9651;0.9412;0.0239
Police;0.9649;0.9411;0.0238
Teachers;0.9843;0.9607;0.0236
Halloween;0.9913;0.9678;0.0235
Disaster;0.9238;0.9005;0.0233
Suicide;0.9754;0.9524;0.0230
Constitution;0.9633;0.9403;0.0230
Tobacco;0.9847;0.9619;0.0228
Bankruptcy;0.9364;0.9137;0.0227
Dance;0.9779;0.9558;0.0221
Earthquake;0.9875;0.9659;0.0216
Pandemic;0.9273;0.9058;0.0215
Students;0.9598;0.9387;0.0211
Vaccines;0.9863;0.9652;0.0211
Court;0.9226;0.9015;0.0211
Voting;0.9715;0.9506;0.0209
Loans;0.9752;0.9543;0.0209
Hurricane;0.9687;0.9479;0.0208
Inflation;0.9763;0.9556;0.0207
Defence;0.9338;0.9131;0.0207
Celebrity;0.9573;0.9367;0.0206
Epidemic;0.9393;0.9187;0.0206
Pope;0.9815;0.9611;0.0204
Democracy;0.9819;0.9616;0.0203
Drought;0.9543;0.9341;0.0202
Divorce;0.9752;0.9553;0.0199
Prison;0.9688;0.9492;0.0196
Currency;0.963;0.9436;0.0194
Homicide;0.9791;0.9603;0.0188
Church;0.9762;0.9576;0.0186
Mosque;0.9761;0.9579;0.0182
Sport;0.9547;0.9367;0.0180
Medicaid;0.9774;0.9595;0.0179
Marriage;0.9634;0.9458;0.0176
Pension;0.9658;0.9482;0.0176
Cancer;0.9933;0.9764;0.0169
Drama;0.9554;0.9389;0.0165
Hospital;0.9661;0.9501;0.0160
Social-media;0.955;0.9393;0.0157
Law;0.8996;0.8852;0.0144
Investigation;0.9193;0.9052;0.0141
Judge;0.9449;0.9311;0.0138
Retail;0.9231;0.9099;0.0132
Birthday;0.9715;0.9587;0.0128
Crime;0.922;0.9093;0.0127
Coal;0.9746;0.962;0.0126
Diet;0.9681;0.9565;0.0116
Bullying;0.9542;0.9436;0.0106
Cinema;0.9615;0.9512;0.0103
Recession;0.9483;0.9388;0.0095
Traffic;0.9331;0.9238;0.0093
Charity;0.9385;0.9293;0.0092
Impeachment;0.9569;0.9491;0.0078
Fraud;0.9366;0.9315;0.0051
Election;0.9629;0.9582;0.0047
Grocery;0.9481;0.9437;0.0044
Theft;0.9242;0.9216;0.0026
Arrest;0.9125;0.9109;0.0016
Kidnapping;0.8948;0.8933;0.0015
Newspaper;0.9379;0.9387;-0.0008
Tariff;0.8887;0.8897;-0.0010
Earnings;0.9314;0.9387;-0.0073
Arson;0.914;0.9241;-0.0101
War;0.8533;0.8706;-0.0173
Bribery;0.8497;0.8694;-0.0197
